Source,Target,Weight
167074764,173178431,82
167074764,2890714160,81
167074776,167074781,105
167074776,173178467,83
167074781,173178467,22
167074781,173178460,44
167074781,173178439,185
167074791,173178460,89
167074791,232428892,179
167074791,263697515,54
167074791,311408023,235
167074807,3594098193,142
167074807,7176837702,17
167074807,2890714160,35
167074807,263697515,213
167074844,167074848,194
167074844,311407948,307
167074844,349310536,111
167074848,1986129296,45
167074848,173178545,36
167074858,1986129296,92
167074858,173178563,145
167074858,311407946,149
167074864,321988770,116
167074864,6705567029,35
167074864,184191064,137
167074864,173178563,73
167074873,8974150265,18
167074873,8974150252,11
167074873,1656564684,149
167074880,184314504,107
167074880,167074887,14
167074880,2001023089,76
167074887,173944994,143
167074887,167131053,108
167074900,167074908,118
167074900,173944966,48
167074900,167075009,16
167074900,3888196319,220
167074908,167074914,24
167074908,173945052,44
167074914,167074922,162
167074914,167105510,91
167074922,167074986,17
167074922,167074929,192
167074929,167074968,19
167074929,1977789107,66
167074929,7411851225,129
167074968,167074981,29
167074968,167105606,54
167074968,3089451561,74
167074968,1977789107,63
167074981,167074986,170
167074981,3089451561,64
167074986,167074994,87
167074994,167075001,40
167074994,243793057,44
167075009,173944953,25
167075009,173944957,24
167075038,3221027840,137
167075038,314063833,264
167105510,173945039,41
167105510,173945052,54
167105519,2961797143,142
167105519,7411851225,118
167105519,167105602,216
167105519,173945039,150
167105527,232400764,226
167105527,1292291928,112
167105589,167130977,69
167105589,167105592,9
167105589,3159731097,52
167105589,3159731101,10
167105592,1299409708,11
167105592,167105597,36
167105592,9318188795,161
167105597,1299409708,38
167105597,3211642079,72
167105602,2356399154,16
167105602,3211642079,176
167105606,3089451561,72
167105606,167105609,78
167105609,173328868,200
167105609,185491254,157
167105614,8001157238,35
167105614,357534305,127
167105614,343515282,73
167105614,8001157243,31
167130897,171841199,97
167130897,171841175,154
167130897,167130903,177
167130903,167130910,195
167130903,4615630581,295
167130910,167130917,125
167130910,243793058,159
167130917,3089451561,181
167130917,243793056,161
167130977,3219027838,183
167130977,9318188793,100
167131053,186243391,116
167131053,1986129303,52
167131069,311407946,124
167131069,1794650305,13
167131069,3747398935,105
167131069,184314504,127
167154652,1369428359,142
167154652,315946131,26
167154652,243793655,138
167154652,315946161,156
167154701,304383957,39
167154701,243793647,147
167154701,304383955,30
167154701,167154710,584
167154710,179004693,155
167154710,167154717,141
167154710,186243379,169
167154717,167154730,87
167154717,167154836,74
167154730,167154740,34
167154730,186243316,127
167154730,167154836,34
167154740,167154746,84
167154740,167154820,36
167154740,186243310,123
167154746,167154751,140
167154746,167154820,72
167154751,186243299,108
167154751,2815433157,154
167154751,167154760,186
167154760,178983630,178
167154760,2662907068,116
167154760,167154767,153
167154767,173359103,125
167154767,178983644,143
167154767,167154784,245
167154784,167154790,106
167154784,178983657,115
